city,province,country,river,lake,sea
ShkodÃ«r,Albania,AL,,Lake Skutari,
DurrÃ«s,Albania,AL,,,Mediterranean Sea
VlorÃ«,Albania,AL,,,Mediterranean Sea
Kavala,Anatolikis Makedonias kai Thrakis,GR,,,Mediterranean Sea
Athina,Attikis,GR,,,Mediterranean Sea
Peiraias,Attikis,GR,,,Mediterranean Sea
Patra,Dytikis Elladas,GR,,,Mediterranean Sea
Kerkyra,Ionion Nison,GR,,,Mediterranean Sea
Thessaloniki,Kentrikis Makedonias,GR,,,Mediterranean Sea
Iraklio,Kritis,GR,,,Mediterranean Sea
Chania,Kritis,GR,,,Mediterranean Sea
Ermoupoli,Notioy Aigaioy,GR,,,Mediterranean Sea
Rhodes,Notioy Aigaioy,GR,,,Mediterranean Sea
Chalkida,Stereas Elladas,GR,,,Mediterranean Sea
Volos,Thessalias,GR,,,Mediterranean Sea
Mytilini,Boreioy Aigaioy,GR,,,Mediterranean Sea
Larnaka,Cyprus,CY,,,Mediterranean Sea
Lemesos,Cyprus,CY,,,Mediterranean Sea
Skopje,North Macedonia,MK,Vardar,,
Beograd,Serbia,SRB,Donau,,
Beograd,Serbia,SRB,Save,,
Novi Sad,Serbia,SRB,Donau,,
Kragujevac,Serbia,SRB,Southern Morava,,
NiÅ¡,Serbia,SRB,Southern Morava,,
Podgorica,Montenegro,MNE,Moraca,,
Andorra la Vella,Andorra,AND,Valira,,
Paris,ÃŽle-de-France,F,Seine,,
Paris,ÃŽle-de-France,F,Marne,,
Boulogne-Billancourt,ÃŽle-de-France,F,Seine,,
Argenteuil,ÃŽle-de-France,F,Seine,,
Saint-Denis,ÃŽle-de-France,F,Seine,,
Lyon,Auvergne-RhÃ´ne-Alpes,F,Rhone,,
Lyon,Auvergne-RhÃ´ne-Alpes,F,Saone,,
Grenoble,Auvergne-RhÃ´ne-Alpes,F,Isere,,
Villeurbanne,Auvergne-RhÃ´ne-Alpes,F,Rhone,,
Bordeaux,Nouvelle-Aquitaine,F,Garonne,,
Limoges,Nouvelle-Aquitaine,F,Vienne,,
Amiens,Hauts-de-France,F,Somme,,
Calais,Hauts-de-France,F,,,North Sea
Marseille,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Nice,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Toulon,Provence-Alpes-CÃ´te d'Azur,F,,,Mediterranean Sea
Rennes,Bretagne,F,Vilaine,,
Brest,Bretagne,F,,,Atlantic Ocean
